Secteur,Taille_Entreprise,Anciennete_Annees,Ratio_Liquidite_Generale,Ratio_Liquidite_Reduite,Ratio_Endettement,Ratio_Capacite_Remboursement,Taux_Endettement_Net,ROE,ROA,Marge_Nette,Marge_Brute,Chiffre_Affaires_Log,Croissance_CA,Ratio_Fonds_Propres,Ratio_Tresorerie_Nette,Delai_Paiement_Clients_Jours,Delai_Paiement_Fournisseurs_Jours,Ratio_Couverture_Interets,Score_Altman_Z,Nb_Incidents_Paiement_12M,Nb_Credits_En_Cours,Defaut_Paiement
Agriculture,Grande Entreprise,26,0.84,0.77,1.35,6.69,1.46,0.053,0.279,-0.016,0.45,14.34,0.186,0.29,-0.23,59,62,13.11,3.91,0,0,1
Industrie,TPE,39,0.92,0.9,1.12,2.37,0.56,0.273,-0.126,0.085,0.304,14.67,0.299,0.17,0.22,99,65,3.84,4.2,5,4,0
BTP,ETI,28,3.15,1.48,1.39,14.24,1.02,0.009,0.119,0.07,0.543,17.05,0.125,0.36,0.49,79,18,12.8,2.04,0,0,1
Commerce,PME,5,2.7,1.55,1.4,7.39,0.1,-0.131,0.043,0.225,0.588,13.09,0.435,0.55,0.15,108,41,12.13,3.94,2,0,0
Agriculture,PME,8,3.21,1.18,1.29,5.1,0.59,0.206,-0.001,0.174,0.469,13.15,-0.367,0.53,0.52,33,56,1.76,3.37,3,2,1
Industrie,ETI,25,2.73,1.62,0.61,11.61,1.45,0.481,-0.109,0.187,0.092,10.61,-0.132,0.34,0.18,61,70,5.71,4.81,3,4,0
Services,PME,27,2.21,0.39,0.17,7.72,0.81,-0.052,0.103,0.228,0.177,16.87,0.07,0.51,0.0,60,83,8.12,2.41,0,6,0
Industrie,ETI,46,2.39,0.4,0.97,5.0,0.43,0.069,0.066,-0.024,0.264,15.68,-0.323,0.66,-0.04,43,32,5.28,4.97,1,2,0
Services,Grande Entreprise,23,3.15,0.6,1.79,12.27,0.18,0.239,-0.103,-0.007,0.262,13.49,0.306,0.07,0.12,113,75,5.24,3.83,2,6,1
BTP,PME,30,2.15,1.39,1.18,13.07,1.06,0.133,0.126,0.063,0.555,17.05,-0.006,0.39,-0.47,98,18,11.67,3.99,5,4,0
Commerce,TPE,45,2.32,0.69,1.68,10.26,0.97,0.375,0.182,-0.016,0.064,15.37,-0.127,0.62,0.5,114,15,9.68,0.62,0,6,1
Industrie,PME,47,0.8,0.85,1.98,1.18,0.56,0.309,0.195,0.391,0.617,14.69,-0.397,0.46,0.77,75,64,13.51,2.74,1,0,1
Transport,Grande Entreprise,23,1.82,1.12,0.41,8.71,1.43,-0.253,0.257,0.288,0.249,15.11,0.32,0.54,0.03,117,84,19.15,2.88,0,6,0
Transport,TPE,49,2.59,2.07,1.41,11.57,0.03,0.499,0.034,-0.101,0.283,16.36,0.434,0.44,-0.43,79,34,13.38,0.68,3,4,1
Tech,PME,47,1.17,0.23,1.38,2.48,0.46,0.302,0.279,-0.197,0.446,16.6,-0.005,0.79,0.98,37,34,11.85,1.9,0,5,1
Agriculture,PME,20,0.95,1.69,1.96,3.82,1.38,0.391,0.239,-0.174,0.212,12.89,0.164,0.09,-0.1,109,60,17.03,4.8,0,5,1
BTP,ETI,18,1.3,1.74,1.97,13.3,0.48,0.221,-0.017,-0.054,0.713,11.41,-0.172,0.42,-0.31,65,41,12.83,2.42,3,2,1
Industrie,TPE,18,1.07,2.04,1.4,0.79,0.38,0.385,-0.078,-0.131,0.114,11.57,0.222,0.12,0.05,77,40,3.73,1.34,2,7,1
Transport,ETI,2,0.99,2.35,0.56,11.41,0.8,-0.21,0.046,0.12,0.383,16.39,-0.388,0.17,0.61,113,46,6.64,2.81,2,3,0
Agriculture,Grande Entreprise,4,1.66,0.25,1.62,7.37,1.24,-0.022,0.031,0.315,0.687,18.73,0.089,0.34,-0.06,36,24,14.8,0.65,0,5,1
Transport,TPE,30,3.21,0.55,0.3,6.98,0.15,0.401,0.109,0.242,0.512,14.09,0.244,0.17,0.36,85,26,14.9,2.82,1,6,0
Industrie,TPE,33,1.92,2.24,1.58,0.6,1.41,-0.139,0.113,-0.071,0.269,11.7,0.518,0.77,0.12,47,88,19.75,3.17,0,2,0
Services,Grande Entreprise,36,0.9,1.25,1.83,12.38,1.19,-0.237,0.187,0.04,0.366,17.57,-0.019,0.76,-0.32,114,38,12.73,2.11,0,6,0
Industrie,TPE,18,0.55,1.5,0.83,5.72,0.27,0.33,0.079,0.105,0.58,18.32,0.365,0.3,-0.0,58,65,18.04,3.93,0,3,0
Tech,ETI,37,2.53,1.72,1.3,8.34,1.07,0.368,-0.103,0.286,0.78,18.81,0.198,0.53,0.59,21,52,1.56,1.11,0,1,1
Industrie,PME,19,1.52,1.76,0.92,10.32,0.58,-0.17,0.236,0.303,0.72,16.07,0.527,0.45,0.42,105,60,11.54,4.45,3,2,0
Industrie,TPE,47,2.93,2.34,0.93,10.69,0.6,0.383,-0.011,0.346,0.307,18.61,-0.002,0.66,-0.32,16,22,18.44,4.8,0,5,0
Tech,ETI,28,2.41,2.49,0.69,14.36,1.17,0.249,0.287,0.106,0.799,10.15,-0.081,0.52,-0.26,31,69,6.1,0.51,1,5,0
BTP,PME,40,2.85,1.86,1.55,8.2,1.44,0.116,-0.097,0.217,0.053,11.07,0.487,0.05,0.46,79,45,3.52,4.29,1,4,0
Industrie,PME,20,1.17,0.86,1.88,6.3,0.19,0.364,0.281,-0.133,0.071,10.93,-0.351,0.62,0.72,72,30,7.33,2.78,1,3,0
Tech,PME,49,2.52,2.22,1.89,14.33,0.63,0.035,-0.109,0.139,0.668,17.13,-0.264,0.61,0.02,44,34,15.95,2.58,0,5,0
Agriculture,PME,33,1.14,0.31,0.43,9.81,0.72,-0.145,-0.046,-0.051,0.2,10.7,-0.318,0.43,0.39,100,52,2.15,1.57,0,4,1
Services,TPE,12,3.31,0.73,1.76,4.82,0.56,-0.072,-0.129,0.059,0.096,14.96,0.443,0.73,-0.24,106,29,12.21,2.51,0,3,0
Services,PME,15,2.34,2.26,1.5,2.33,0.54,0.104,0.167,0.18,0.228,14.73,-0.389,0.73,-0.03,111,48,3.14,4.78,3,2,1
Industrie,Grande Entreprise,41,1.34,0.79,0.58,12.72,0.08,0.125,0.233,-0.046,0.37,13.11,0.462,0.44,-0.47,40,86,8.99,1.45,0,2,0
BTP,TPE,39,1.16,0.71,0.23,5.75,1.03,0.344,0.045,-0.169,0.598,18.7,0.051,0.51,0.65,49,33,19.34,1.31,5,4,1
BTP,PME,2,0.91,0.52,0.61,10.08,0.65,0.333,0.268,-0.194,0.518,11.7,-0.396,0.8,0.1,77,83,4.31,1.59,2,2,0
Agriculture,PME,29,2.52,2.18,1.83,7.33,0.29,0.165,0.116,-0.187,0.228,13.52,0.002,0.27,0.72,89,77,1.16,2.98,1,4,1
Industrie,ETI,41,1.0,1.35,1.3,3.38,1.22,0.325,0.134,-0.195,0.427,17.74,-0.213,0.29,0.56,85,46,8.83,4.69,0,0,1
Services,TPE,10,2.2,1.75,1.47,9.22,1.2,-0.147,0.23,-0.134,0.745,10.3,0.224,0.19,0.74,42,51,11.77,3.08,5,6,1
BTP,Grande Entreprise,2,1.15,0.75,0.59,1.38,0.73,-0.26,-0.016,-0.056,0.661,16.73,0.279,0.72,-0.07,39,80,6.3,1.6,0,3,1
Industrie,PME,11,2.42,1.94,1.47,6.49,0.45,0.399,0.009,-0.067,0.292,18.16,0.088,0.61,-0.22,75,21,11.06,2.48,1,4,0
Transport,TPE,13,2.91,1.95,0.15,8.43,0.96,-0.24,0.258,0.392,0.787,19.32,-0.359,0.13,0.96,119,62,19.09,2.26,1,3,0
BTP,TPE,10,2.79,0.92,0.81,6.82,0.43,-0.103,0.255,-0.016,0.581,18.76,0.256,0.79,0.58,45,25,6.58,0.71,0,7,0
Tech,TPE,14,2.73,1.14,1.29,11.36,0.35,0.256,0.289,-0.124,0.097,13.19,0.442,0.6,0.75,68,89,6.53,2.8,5,0,1
Transport,PME,18,0.9,0.68,0.38,12.5,1.1,0.028,0.256,0.127,0.076,15.86,0.32,0.69,-0.48,81,45,9.91,1.07,0,3,0
BTP,PME,9,0.58,2.45,1.66,11.68,0.06,0.401,-0.093,0.315,0.176,10.77,0.43,0.09,0.03,111,58,10.55,4.29,0,4,1
Services,ETI,39,2.54,1.68,0.55,1.06,0.14,-0.062,0.221,0.207,0.596,12.58,-0.199,0.43,0.61,65,59,0.53,2.97,0,6,0
Commerce,PME,28,1.48,2.35,1.34,3.31,0.01,-0.291,0.034,-0.022,0.188,10.94,0.489,0.57,-0.38,72,86,12.51,4.3,5,6,1
Transport,TPE,3,1.68,0.9,0.87,8.28,0.23,-0.059,0.296,0.137,0.434,13.15,-0.078,0.46,0.35,48,70,19.95,4.8,0,2,0
Agriculture,PME,20,0.4,2.0,1.23,14.05,0.1,0.162,0.063,0.229,0.12,18.75,-0.387,0.55,0.14,73,46,6.19,4.74,3,6,1
Agriculture,ETI,6,1.13,1.96,0.3,12.61,1.49,0.001,0.099,0.237,0.741,13.47,0.443,0.66,-0.47,35,35,12.8,0.95,0,6,0
Services,TPE,27,0.41,1.79,0.13,12.72,0.43,0.128,0.088,0.2,0.308,15.62,0.542,0.33,-0.15,70,45,0.59,4.75,0,7,1
BTP,TPE,2,3.11,2.42,1.83,4.9,0.22,0.401,-0.005,0.322,0.731,14.33,0.256,0.69,-0.07,51,15,12.28,4.08,0,3,1
Industrie,TPE,29,1.08,1.11,0.61,6.73,0.36,0.43,-0.116,0.322,0.759,14.59,-0.169,0.17,-0.33,78,25,9.22,4.0,5,3,1
BTP,ETI,38,2.08,0.5,1.66,7.33,1.4,-0.087,0.253,0.147,0.055,19.7,-0.148,0.25,0.45,33,82,10.84,0.91,0,5,1
Services,PME,3,0.42,1.74,2.0,2.78,0.78,0.07,0.211,0.058,0.398,12.96,0.067,0.08,-0.14,115,50,11.11,1.31,0,5,1
Agriculture,PME,16,2.43,1.88,0.5,0.95,0.55,0.139,-0.087,0.185,0.068,16.27,0.498,0.32,-0.08,99,73,3.95,4.89,1,0,0
BTP,ETI,30,1.33,1.52,0.6,14.23,1.31,0.459,0.2,0.291,0.732,14.2,-0.25,0.33,0.85,92,81,15.51,1.46,0,1,1
Agriculture,ETI,40,3.17,0.68,1.36,3.99,0.59,0.499,0.132,-0.197,0.439,10.61,0.426,0.65,0.2,88,70,11.33,1.26,5,6,1
Transport,PME,2,3.14,1.36,1.93,3.98,0.5,-0.112,0.034,0.395,0.106,14.89,-0.109,0.54,0.09,67,65,5.77,2.13,0,2,0
Industrie,ETI,17,1.34,0.92,1.84,1.71,0.31,0.282,-0.036,-0.09,0.133,18.13,0.409,0.38,0.59,85,43,18.78,4.61,1,6,1
Transport,TPE,41,3.18,1.18,1.06,13.96,0.57,0.002,0.237,0.082,0.338,10.99,0.52,0.54,0.86,107,16,0.75,2.64,3,4,0
Agriculture,TPE,12,3.49,1.68,1.61,8.91,0.48,-0.294,0.165,0.323,0.755,10.7,0.027,0.09,-0.46,77,20,14.66,4.64,0,0,0
Agriculture,TPE,35,2.94,1.91,0.36,10.17,1.02,-0.293,0.096,-0.065,0.57,11.54,-0.035,0.19,0.17,118,45,7.93,2.0,0,4,0
Commerce,TPE,43,3.0,0.73,1.96,13.72,0.43,0.068,0.124,0.086,0.701,17.64,0.402,0.52,0.42,76,68,10.69,1.52,1,4,0
Commerce,PME,1,1.1,1.13,1.93,5.51,0.87,0.091,-0.109,-0.12,0.325,17.24,0.129,0.53,-0.02,86,54,6.18,2.73,0,3,1
Transport,Grande Entreprise,45,2.15,0.82,0.41,9.51,0.1,-0.282,0.063,0.037,0.082,15.65,0.284,0.63,0.66,117,31,6.76,3.27,0,0,0
Tech,TPE,15,0.52,0.66,0.67,1.06,0.29,0.25,-0.063,-0.094,0.781,14.68,0.223,0.35,0.96,91,19,0.8,2.26,1,0,1
Transport,TPE,26,0.6,2.0,0.29,3.21,0.61,-0.065,-0.056,0.018,0.063,18.88,-0.247,0.59,0.92,33,16,14.73,2.06,1,5,1
Commerce,PME,37,3.5,2.29,0.62,12.55,1.41,0.148,0.148,0.024,0.761,17.67,0.445,0.56,-0.1,89,72,14.36,1.48,0,7,0
Agriculture,Grande Entreprise,21,1.35,1.05,1.65,11.62,0.57,-0.059,0.26,0.396,0.327,18.12,-0.204,0.77,-0.16,16,26,13.26,1.74,0,2,0
Services,PME,49,2.69,1.93,0.82,5.58,1.0,-0.166,0.032,0.397,0.058,18.13,0.532,0.21,0.94,20,19,17.62,3.53,3,1,0
Transport,PME,31,2.88,2.26,0.27,5.96,0.38,0.026,-0.057,-0.131,0.567,16.43,-0.149,0.46,0.19,43,74,18.07,2.16,0,4,0
Agriculture,TPE,25,3.05,2.15,0.75,8.24,0.19,-0.114,0.142,0.236,0.785,14.58,0.334,0.5,-0.19,55,55,11.35,0.86,0,6,0
Services,TPE,23,3.49,0.62,1.96,0.5,0.09,0.128,0.242,-0.169,0.774,18.65,-0.115,0.8,0.56,65,34,13.85,1.12,3,2,1
Services,Grande Entreprise,24,1.07,2.4,1.3,4.0,0.46,-0.141,0.187,-0.182,0.171,19.26,-0.082,0.2,-0.07,19,86,0.71,2.18,0,6,1
Commerce,Grande Entreprise,38,0.43,1.07,0.89,3.52,0.24,0.107,0.241,-0.137,0.186,10.24,-0.09,0.44,-0.1,55,15,17.0,4.66,0,5,1
Transport,TPE,28,1.62,0.98,0.42,4.13,0.26,-0.174,0.091,0.379,0.474,10.52,0.348,0.31,0.82,76,70,16.42,2.21,0,7,0
BTP,Grande Entreprise,21,0.72,0.34,1.97,12.19,1.14,0.237,0.188,0.365,0.528,19.59,0.157,0.44,-0.26,44,84,0.89,0.77,0,7,1
Industrie,PME,43,0.37,1.32,1.66,4.56,0.02,0.303,-0.087,-0.084,0.605,12.77,0.483,0.22,-0.4,117,70,11.09,2.38,3,2,1
Commerce,ETI,18,1.45,0.45,0.63,3.28,0.84,-0.212,0.007,-0.103,0.186,18.73,-0.093,0.09,-0.1,76,68,18.18,3.51,3,4,0
Commerce,PME,36,2.81,0.77,0.23,7.81,0.57,0.074,0.025,-0.056,0.769,13.89,0.292,0.48,0.41,114,25,4.04,3.17,1,3,0
BTP,PME,35,2.11,0.93,0.21,13.05,0.76,-0.243,0.08,0.109,0.529,11.19,0.353,0.3,-0.32,41,17,7.38,1.75,1,3,0
Industrie,PME,45,1.3,2.06,0.33,4.0,0.84,0.179,0.268,0.142,0.685,10.8,-0.249,0.19,0.21,64,42,6.96,3.6,0,4,0
Agriculture,PME,9,2.39,2.21,1.2,1.64,0.47,-0.088,0.243,-0.067,0.455,11.57,0.001,0.29,0.44,96,19,7.44,3.34,0,5,0
Tech,TPE,38,1.04,0.9,1.86,5.67,0.44,0.122,-0.089,0.254,0.361,12.5,0.083,0.09,0.77,66,30,1.32,1.27,0,5,1
Transport,TPE,30,0.35,2.18,1.04,11.34,1.1,0.114,-0.072,-0.014,0.783,14.89,-0.044,0.76,-0.16,63,45,5.94,1.23,5,0,1
Tech,PME,44,2.75,2.17,1.7,8.49,1.31,0.439,0.011,0.353,0.487,17.01,-0.078,0.49,0.73,76,42,6.25,2.96,5,1,1
Agriculture,ETI,34,2.3,1.96,0.95,12.34,0.29,0.139,-0.019,0.194,0.7,19.86,0.286,0.66,-0.15,114,21,17.38,3.47,3,6,0
Commerce,TPE,32,2.74,0.54,1.45,14.41,0.15,0.166,0.127,0.062,0.765,14.42,-0.184,0.37,0.52,74,23,7.37,4.83,3,3,1
Industrie,PME,3,0.42,1.79,1.49,11.99,1.35,0.021,0.256,0.274,0.557,15.18,0.309,0.73,0.15,94,53,9.22,2.4,0,1,1
Commerce,Grande Entreprise,3,2.98,2.37,0.43,9.26,0.52,0.459,0.283,0.291,0.462,15.22,0.535,0.41,-0.33,68,57,7.92,3.94,2,2,0
Services,TPE,28,2.28,1.77,0.79,7.65,0.83,0.322,0.144,-0.026,0.053,15.39,0.165,0.48,0.57,19,41,2.85,1.02,3,6,1
Commerce,PME,44,2.1,0.96,1.31,1.08,0.54,-0.072,0.227,0.004,0.08,15.18,0.211,0.42,-0.17,23,47,19.81,4.5,0,6,0
Commerce,PME,15,2.3,1.35,0.23,14.77,0.19,0.375,0.086,0.362,0.201,10.09,-0.331,0.6,-0.24,48,70,16.6,3.35,0,6,0
Agriculture,ETI,41,3.07,1.69,0.79,6.06,0.88,0.046,-0.056,-0.101,0.19,10.02,0.464,0.47,0.04,112,16,11.05,3.33,5,2,0
Agriculture,TPE,23,2.18,1.37,1.12,2.71,0.79,0.363,0.086,-0.175,0.241,10.98,-0.115,0.25,0.48,50,28,9.79,1.14,0,4,0
Agriculture,PME,40,2.16,0.48,1.99,10.17,0.3,0.358,0.1,0.072,0.279,11.02,0.215,0.16,-0.15,109,27,13.16,0.68,0,7,0
Tech,ETI,11,3.47,0.92,1.0,4.62,0.68,-0.149,0.184,0.281,0.32,17.05,0.579,0.5,-0.22,34,38,6.87,3.66,3,7,0
Services,Grande Entreprise,48,2.72,2.05,1.65,8.99,1.2,0.261,-0.051,0.263,0.365,12.05,0.196,0.42,-0.49,95,83,1.48,1.03,0,4,1
Agriculture,PME,32,1.72,2.18,0.92,9.01,0.89,-0.067,0.016,0.352,0.124,18.95,0.325,0.12,0.21,98,48,8.38,1.07,0,4,1
Industrie,PME,36,2.56,0.52,1.61,6.96,0.15,-0.062,0.014,0.12,0.082,19.29,0.045,0.35,0.14,106,33,19.69,1.34,1,6,1
Tech,PME,33,1.55,2.39,1.23,12.62,0.82,-0.063,0.282,-0.14,0.555,19.76,-0.34,0.44,-0.15,99,44,4.06,0.94,3,5,1
BTP,ETI,24,1.03,0.96,1.78,4.34,1.05,0.28,0.05,0.153,0.453,19.39,0.398,0.67,-0.42,97,63,10.79,3.31,3,3,0
Industrie,PME,39,2.21,1.72,0.88,7.01,1.19,-0.116,0.19,0.267,0.383,12.72,-0.365,0.11,0.14,77,57,0.67,2.4,0,1,0
Transport,TPE,34,3.27,1.93,1.25,8.3,0.94,-0.299,0.188,-0.144,0.526,15.1,0.301,0.31,0.68,81,30,2.88,1.7,2,7,1
Transport,Grande Entreprise,28,3.27,2.07,1.3,10.12,0.23,0.272,-0.031,-0.096,0.671,11.75,-0.377,0.67,0.57,44,66,11.95,2.48,0,2,1
Industrie,PME,37,1.39,2.38,0.89,11.87,1.07,-0.163,0.107,-0.193,0.371,18.06,0.462,0.54,0.79,83,63,6.3,4.3,0,1,0
Agriculture,PME,7,1.99,0.92,0.37,6.22,1.02,-0.216,0.252,0.156,0.531,18.88,-0.242,0.27,-0.49,84,25,18.16,4.67,1,7,0
BTP,TPE,4,0.98,2.17,0.28,9.87,0.04,-0.11,0.064,0.332,0.765,18.51,0.114,0.68,0.95,17,61,8.42,2.69,1,3,0
BTP,PME,37,3.49,0.5,0.13,2.68,0.62,0.004,0.275,0.202,0.68,14.33,0.197,0.42,0.01,63,49,4.56,3.05,1,6,0
Tech,PME,1,3.44,1.82,1.76,14.02,0.5,0.081,-0.053,0.389,0.37,17.59,0.058,0.42,0.99,56,85,11.14,1.66,2,1,1
BTP,PME,1,2.38,1.91,0.55,6.05,1.0,-0.264,-0.117,-0.162,0.534,10.98,-0.059,0.78,-0.12,38,43,16.0,2.81,0,6,1
Transport,TPE,47,2.87,1.76,0.5,11.08,0.32,0.476,0.251,0.342,0.183,10.4,0.068,0.76,0.21,58,68,0.88,3.87,0,1,0
Services,PME,20,2.59,0.78,1.5,0.79,0.89,0.273,0.231,0.288,0.47,17.53,-0.089,0.32,0.03,15,37,10.36,2.71,3,5,1
Agriculture,Grande Entreprise,19,2.2,2.21,0.71,3.48,1.37,-0.041,0.297,-0.011,0.786,14.25,0.038,0.16,0.03,68,38,15.58,1.86,3,7,0
BTP,TPE,29,0.47,0.59,1.06,7.56,1.2,-0.045,0.156,0.384,0.439,19.96,-0.041,0.29,0.76,66,24,2.52,3.12,1,4,0
Tech,Grande Entreprise,10,1.76,0.32,0.41,13.23,1.38,0.059,0.272,-0.027,0.746,10.97,0.166,0.07,0.62,50,75,18.1,4.76,1,5,0
Transport,PME,18,2.46,1.85,1.92,8.15,1.47,0.201,0.222,0.334,0.356,18.56,-0.162,0.07,0.99,93,22,5.66,4.5,0,5,0
Services,ETI,28,2.47,1.29,1.72,13.98,0.02,-0.183,0.23,0.328,0.799,14.8,0.589,0.35,0.42,119,62,3.83,3.96,0,6,1
Commerce,ETI,35,1.49,2.15,1.74,7.52,0.93,-0.149,0.106,0.255,0.484,18.27,0.101,0.76,0.19,52,43,11.99,1.74,0,1,1
Commerce,PME,43,3.31,1.08,0.87,7.61,0.62,0.388,0.022,0.138,0.082,18.17,-0.206,0.7,-0.36,58,40,3.91,1.59,5,1,0
Services,ETI,47,0.84,0.59,1.55,2.24,1.29,-0.095,0.271,-0.128,0.49,19.16,0.077,0.43,0.99,96,51,13.75,4.27,0,5,1
Transport,ETI,31,1.9,2.12,0.37,12.14,0.38,0.004,0.044,0.119,0.256,12.98,0.466,0.47,0.33,101,66,10.06,1.32,1,1,0
Tech,PME,27,2.51,1.46,0.12,4.08,1.47,0.397,0.092,0.014,0.074,19.5,-0.378,0.05,0.55,61,52,2.64,3.23,2,5,0
Services,PME,11,2.53,0.64,0.14,13.54,0.92,0.231,0.051,0.275,0.666,11.52,0.28,0.21,0.11,43,20,18.29,2.48,0,0,0
Agriculture,PME,49,2.38,1.86,1.21,13.71,1.19,-0.027,0.104,0.255,0.257,10.82,0.148,0.07,0.32,65,22,13.63,2.61,2,7,0
Agriculture,ETI,49,1.18,1.38,0.97,14.18,0.13,0.247,0.062,0.346,0.647,14.32,-0.23,0.62,0.91,55,31,11.15,2.55,2,5,0
Commerce,ETI,38,0.8,1.59,1.08,8.04,0.28,-0.284,-0.128,-0.191,0.266,18.28,0.417,0.16,-0.25,100,76,7.8,4.55,5,2,1
BTP,ETI,5,2.34,1.26,0.11,10.32,1.14,0.289,0.247,0.285,0.196,14.73,-0.031,0.7,-0.06,78,48,3.13,0.89,2,2,1
Tech,PME,8,2.22,2.11,0.9,11.79,0.03,0.09,0.05,0.363,0.78,18.29,-0.106,0.53,-0.27,102,33,14.3,4.02,5,1,0
Commerce,ETI,34,0.87,2.11,1.46,2.4,1.23,0.351,0.115,0.274,0.321,17.3,0.428,0.22,0.69,62,84,16.37,4.26,0,5,0
BTP,TPE,48,2.56,1.83,0.94,9.21,0.02,0.464,-0.087,-0.122,0.501,12.09,0.239,0.17,-0.41,91,51,2.95,4.74,5,5,1
BTP,PME,12,1.76,0.44,1.49,1.0,0.99,0.441,-0.148,-0.151,0.507,19.49,0.498,0.52,-0.38,111,52,10.14,2.54,2,4,1
Agriculture,TPE,38,2.44,2.13,0.54,7.71,0.55,0.427,-0.04,-0.187,0.47,10.61,0.23,0.73,-0.05,36,29,9.95,2.75,0,7,0
Transport,PME,1,2.98,1.74,1.64,2.75,0.92,0.11,0.167,0.177,0.736,18.98,0.341,0.59,0.27,113,54,7.32,4.83,0,6,1
Industrie,PME,31,0.84,1.8,1.22,3.15,1.04,-0.012,-0.105,0.178,0.556,13.04,0.436,0.31,0.11,31,23,15.89,2.56,3,4,1
Transport,PME,4,0.36,1.03,0.5,5.79,0.51,0.072,0.259,0.392,0.353,15.0,-0.345,0.49,-0.43,100,67,2.44,2.77,2,4,0
Industrie,PME,49,2.79,2.22,0.55,6.77,0.16,0.252,-0.053,0.039,0.697,14.22,0.376,0.28,0.94,19,84,4.5,2.0,5,5,0
Services,PME,45,2.25,1.87,1.29,9.54,0.1,0.407,-0.058,-0.001,0.186,11.72,0.214,0.8,0.93,75,80,0.53,0.64,0,7,1
Agriculture,PME,5,2.54,0.46,1.68,1.58,0.88,-0.134,-0.068,0.175,0.458,13.58,-0.33,0.61,-0.08,103,66,7.77,2.45,2,5,1
BTP,TPE,30,2.98,1.14,0.89,7.8,0.78,0.435,-0.144,0.295,0.763,11.93,0.109,0.51,0.6,20,15,6.18,3.45,0,2,0
Tech,PME,24,2.87,2.24,0.59,3.15,1.11,0.352,0.197,0.362,0.519,12.04,-0.318,0.37,0.37,67,44,17.41,3.6,5,3,0
Industrie,TPE,3,3.37,0.31,1.75,8.82,0.76,0.483,0.244,0.282,0.663,11.87,0.336,0.51,-0.14,95,15,15.04,0.53,1,1,0
Transport,TPE,11,2.01,2.41,1.37,9.74,0.63,0.404,0.126,0.056,0.54,14.89,0.147,0.31,-0.11,109,53,2.15,4.1,0,2,1
BTP,PME,45,1.86,1.76,0.95,8.57,0.6,-0.076,-0.065,0.181,0.68,17.98,0.554,0.07,0.24,31,30,14.95,2.72,2,4,0
Industrie,PME,4,1.59,1.65,1.03,11.21,0.04,-0.215,-0.022,0.314,0.758,15.69,-0.217,0.35,0.13,73,31,13.67,2.84,3,2,1
Industrie,PME,26,0.79,0.82,0.49,5.37,0.5,-0.21,0.064,0.094,0.255,18.93,0.206,0.75,-0.06,111,36,5.99,4.83,1,2,0
Industrie,PME,27,2.13,0.77,1.29,11.59,1.46,-0.067,0.279,-0.07,0.177,16.37,-0.188,0.52,0.71,53,45,0.8,1.78,1,2,1
Tech,PME,46,1.19,2.37,0.78,6.78,1.31,0.191,-0.039,-0.098,0.413,16.89,0.214,0.11,0.22,68,54,2.75,3.93,1,7,1
Agriculture,ETI,43,3.25,0.89,1.99,7.52,0.49,0.343,0.179,-0.2,0.576,16.68,0.323,0.71,0.48,62,41,5.37,3.09,0,4,0
Tech,PME,27,2.17,1.98,1.01,9.9,0.88,0.419,0.048,0.231,0.22,14.49,0.322,0.25,-0.22,51,50,16.42,3.65,0,3,0
Commerce,PME,42,2.2,1.1,1.02,0.77,1.27,0.199,-0.016,-0.133,0.053,16.89,0.415,0.23,0.3,62,18,9.57,2.38,2,0,1
BTP,TPE,6,1.44,0.52,1.18,9.98,0.66,-0.295,0.055,-0.054,0.307,10.7,0.454,0.27,-0.02,82,83,18.41,1.76,1,1,0
Agriculture,PME,15,0.47,0.22,1.84,9.47,0.03,-0.151,-0.118,-0.021,0.777,18.6,-0.323,0.48,0.29,92,39,15.89,2.96,0,1,1
Agriculture,PME,30,0.4,1.45,1.62,4.99,0.11,-0.22,0.209,0.136,0.571,17.78,-0.057,0.46,0.67,91,44,6.1,2.19,0,6,1
Agriculture,PME,42,1.65,2.44,0.96,1.74,0.77,-0.009,-0.041,0.039,0.351,12.45,0.287,0.42,0.65,41,61,16.98,1.5,0,2,0
Transport,PME,37,0.57,1.05,1.47,1.82,1.45,0.101,0.176,0.205,0.194,17.68,0.099,0.59,0.03,102,26,2.78,4.28,0,3,1
Agriculture,PME,37,2.24,1.02,1.21,13.89,1.04,-0.265,-0.119,-0.167,0.317,10.13,-0.209,0.29,0.54,41,41,1.2,2.64,2,4,1
Tech,PME,42,3.12,0.99,1.04,10.49,0.11,-0.021,0.28,-0.126,0.177,12.17,0.153,0.64,0.91,86,59,12.37,4.31,3,0,0
Agriculture,ETI,37,3.13,1.4,0.47,2.34,0.28,-0.157,-0.063,0.1,0.13,10.65,0.007,0.18,0.44,77,77,7.16,2.63,1,0,0
Services,ETI,35,2.41,1.21,0.98,5.67,1.16,0.218,0.247,0.002,0.73,17.8,-0.01,0.64,-0.28,66,69,6.92,3.01,1,2,0
BTP,ETI,23,0.98,2.22,0.57,9.09,1.26,0.071,0.214,-0.023,0.798,17.56,0.41,0.55,0.52,61,44,13.9,4.98,0,2,0
Agriculture,Grande Entreprise,6,3.06,1.36,1.84,12.62,0.93,0.096,0.286,-0.16,0.173,18.14,0.008,0.56,-0.34,117,28,17.08,4.78,5,4,1
BTP,TPE,4,3.14,1.37,0.74,1.13,0.97,0.042,0.065,0.337,0.091,10.04,-0.374,0.41,0.81,35,70,6.78,1.72,0,6,0
